Date Open High Low Close Volume Adj Close
20140714 4327.66 4355.76 4324.06 4350.04 78369700 4350.04
20140711 4309.65 4330.48 4299.37 4316.50 96055500 4316.50
20140710 4357.77 4357.77 4277.58 4301.26 133558400 4301.26
20140709 4353.53 4362.56 4329.14 4359.84 100385500 4359.84
20140708 4418.17 4423.78 4342.50 4342.53 108090300 4342.53
20140707 4453.76 4463.06 4404.24 4405.76 86253100 4405.76
20140704 4482.22 4489.81 4468.98 4468.98 65868000 4468.98
20140703 4446.70 4490.72 4437.36 4489.88 110971500 4489.88
20140702 4460.62 4467.79 4436.11 4444.72 131935500 4444.72
20140701 4438.77 4462.43 4430.26 4461.12 104764000 4461.12
20140630 4443.03 4457.57 4407.18 4422.84 101095200 4422.84
20140627 4447.17 4461.47 4426.59 4436.99 91027500 4436.99
20140626 4470.78 4473.43 4412.18 4439.63 105956700 4439.63
20140625 4494.36 4496.67 4448.27 4460.60 124298200 4460.60
20140624 4529.54 4536.11 4513.10 4518.34 95139000 4518.34
20140623 4540.52 4540.52 4494.36 4515.57 113645600 4515.57
20140620 4555.51 4574.92 4541.34 4541.34 188834000 4541.34
20140619 4565.11 4581.95 4558.07 4563.04 130906800 4563.04
20140618 4540.10 4550.93 4529.53 4530.37 99269700 4530.37
20140617 4524.25 4538.24 4508.46 4536.07 95996300 4536.07
20140616 4523.52 4540.68 4509.52 4510.05 95236800 4510.05
20140613 4550.19 4555.86 4506.93 4543.28 99692700 4543.28
20140612 4552.00 4573.98 4545.22 4554.40 97945400 4554.40
20140611 4580.73 4583.64 4552.63 4555.11 123035200 4555.11
20140610 4589.90 4598.65 4579.06 4595.00 85719200 4595.00
20140609 4580.94 4590.66 4570.41 4589.12 66662900 4589.12
20140606 4553.31 4586.68 4539.53 4581.12 127889500 4581.12
20140605 4504.03 4577.70 4487.48 4548.73 148434000 4548.73
20140604 4494.13 4508.26 4470.47 4501.00 100369000 4501.00
20140603 4512.88 4516.02 4499.00 4503.69 97730200 4503.69
20140602 4523.90 4529.35 4502.12 4515.89 121760600 4515.89
20140530 4512.57 4524.92 4495.79 4519.57 133957200 4519.57
20140529 4523.41 4533.50 4515.46 4530.51 67042000 4530.51
20140528 4527.12 4536.83 4517.88 4531.63 84469400 4531.63
20140527 4516.11 4536.48 4511.46 4529.75 94160200 4529.75
20140526 4504.26 4526.93 4496.43 4526.93 53064100 4526.93
20140523 4479.59 4495.76 4468.89 4493.15 84298600 4493.15
20140522 4473.56 4481.98 4451.78 4478.21 97409600 4478.21
20140521 4436.11 4473.28 4424.69 4469.03 110746200 4469.03
20140520 4459.09 4473.10 4445.73 4452.35 89702000 4452.35
20140519 4447.68 4476.41 4418.05 4469.76 115554200 4469.76
20140516 4446.68 4456.31 4418.59 4456.28 139689200 4456.28
20140515 4497.13 4512.62 4438.49 4444.93 144233600 4444.93
20140514 4505.54 4506.56 4489.41 4501.04 97814900 4501.04
20140513 4504.51 4511.35 4492.46 4505.02 126209200 4505.02
20140512 4467.38 4495.72 4463.05 4493.65 124775600 4493.65
20140509 4491.18 4496.67 4465.77 4477.28 155409900 4477.28
20140508 4455.28 4507.24 4440.86 4507.24 127264600 4507.24
20140507 4414.34 4453.22 4402.78 4446.44 134882300 4446.44
20140506 4474.91 4477.86 4420.71 4428.07 125181200 4428.07
20140505 4453.52 4467.37 4400.91 4462.69 83750800 4462.69
20140502 4473.83 4485.10 4447.44 4458.17 117261200 4458.17
20140430 4473.94 4491.29 4470.75 4487.39 137774800 4487.39
20140429 4463.60 4504.14 4449.94 4497.68 119189200 4497.68
20140428 4455.05 4477.62 4444.46 4460.53 90359100 4460.53
20140425 4459.17 4473.48 4431.38 4443.63 95383500 4443.63
20140424 4474.32 4499.32 4440.63 4479.54 143874900 4479.54
20140423 4479.71 4480.62 4449.01 4451.08 116615800 4451.08
20140422 4451.91 4488.05 4443.90 4484.21 104076000 4484.21
20140417 4412.41 4432.64 4392.06 4431.81 120776700 4431.81
20140416 4388.85 4405.66 4375.05 4405.66 122699300 4405.66
20140415 4380.50 4404.04 4344.03 4345.35 122058300 4345.35
20140414 4345.62 4384.56 4319.28 4384.56 132160900 4384.56
20140411 4378.93 4384.03 4333.87 4365.86 138154100 4365.86
20140410 4456.71 4466.19 4408.61 4413.49 103990700 4413.49
20140409 4431.36 4454.74 4426.39 4442.68 96745100 4442.68
20140408 4443.21 4448.43 4384.66 4424.83 149398000 4424.83
20140407 4453.19 4464.04 4432.29 4436.08 127786600 4436.08
20140404 4459.87 4496.54 4447.00 4484.55 113377600 4484.55
20140403 4430.68 4469.84 4417.35 4449.33 98980900 4449.33
20140402 4429.39 4438.63 4421.50 4430.86 103632600 4430.86
20140401 4408.74 4440.04 4401.29 4426.72 110908200 4426.72
20140331 4426.83 4430.90 4390.77 4391.50 89922800 4391.50
20140328 4391.71 4411.38 4388.16 4411.26 99527500 4411.26
20140327 4374.94 4390.17 4359.29 4379.06 135638200 4379.06
20140326 4358.04 4398.48 4353.86 4385.15 100125800 4385.15
20140325 4286.76 4351.61 4286.76 4344.12 115775900 4344.12
20140324 4321.99 4332.17 4266.98 4276.34 130239400 4276.34
20140321 4333.45 4353.39 4323.27 4335.28 181677900 4335.28
20140320 4277.12 4328.18 4261.42 4327.91 144369900 4327.91
20140319 4312.87 4329.48 4295.06 4308.06 102362300 4308.06
20140318 4264.34 4341.84 4250.47 4313.26 125862400 4313.26
20140317 4216.91 4277.06 4211.62 4271.96 105750500 4271.96
20140314 4220.65 4236.58 4183.00 4216.37 184194100 4216.37
20140313 4315.39 4319.64 4250.51 4250.51 112881900 4250.51
20140312 4322.76 4327.85 4273.38 4306.26 123684500 4306.26
20140311 4384.74 4386.73 4343.95 4349.72 102575400 4349.72
20140310 4365.49 4417.80 4346.83 4370.84 129388400 4370.84
20140307 4416.16 4432.50 4364.20 4366.42 157180000 4366.42
20140306 4408.13 4431.16 4402.16 4417.04 147376000 4417.04
20140305 4384.61 4402.12 4377.65 4391.25 106194600 4391.25
20140304 4340.83 4399.81 4337.35 4395.90 125890900 4395.90
20140303 4338.79 4346.95 4288.44 4290.87 157761500 4290.87
20140228 4405.20 4413.65 4367.96 4408.08 120235300 4408.08
